,ShirtNumber,PlayerName,Team,AttackPoints,Errors,AttemptsShots,AveragePerMatch,Success%,TotalAttempts
0,3,Herbots Britt,BEL,314,88,370,22.43,40.67,772
1,99,Karakurt Ebrar,TUR,250,85,238,14.71,43.63,573
2,9,Stysiak Magdalena,POL,245,104,202,16.33,44.46,551
3,11,Caixeta Tandara,BRA,234,62,222,13.76,45.17,518
4,2,Koga Sarina,JPN,226,68,262,14.12,40.65,556
5,3,Van Ryk Kiera,CAN,211,90,213,15.07,41.05,514
6,19,Daalderop Nika,NED,208,60,264,13.87,39.1,532
7,8,Ishikawa Mayu,JPN,202,66,221,11.88,41.31,489
8,1,Kurogo Ai,JPN,197,72,253,11.59,37.74,522
9,9,Zhang Changning,CHN,187,51,174,12.47,45.39,412
10,10,Braga Guimaraes Gabriela,BRA,185,65,185,10.88,42.53,435
11,10,Kim Yeon Koung,KOR,181,46,207,12.07,41.71,434
12,6,Sittirak Onuma,THA,167,79,258,11.13,33.13,504
13,16,Rodrigues Fernanda,BRA,165,32,200,9.71,41.56,397
14,8,Goncharova Nataliya,RUS,162,40,165,11.57,44.14,367
15,18,De La Cruz De Peña Bethania,DOM,162,49,211,10.8,38.39,422
16,5,Fedorovtseva Arina,RUS,159,49,137,10.6,46.09,345
17,15,Nwakalor Sylvia Chinelo,ITA,155,61,118,10.33,46.41,334
18,13,Park Jeongah,KOR,151,50,228,10.07,35.2,429
19,12,Orthmann Hanna,GER,146,60,148,9.73,41.24,354
20,14,Erdem Dündar Eda,TUR,143,38,86,8.41,53.56,267
21,9,Alsmeier Lina,GER,143,37,164,9.53,41.57,344
22,11,Buijs Anne,NED,142,54,208,9.47,35.15,404
23,7,Baladin Hande,TUR,140,61,139,8.24,41.18,340
24,17,Smarzek Malwina,POL,140,55,171,11.67,38.25,366
25,14,Rivera Brens Prisilla,DOM,136,42,162,9.07,40.0,340
26,20,Martinez Brayelin Elizabeth,DOM,136,34,170,9.07,40.0,340
27,11,Drews Andrea,USA,133,36,108,7.82,48.01,277
28,16,Voronkova Irina,RUS,132,47,146,8.8,40.62,325
29,5,Thinkaow Pleumjit,THA,132,31,185,8.8,37.93,348
30,7,Van Gestel Celine,BEL,131,55,222,8.73,32.11,408
31,11,Mitrovic Andrea,CAN,127,48,188,8.47,34.99,363
32,2,Lazovic Katarina,SRB,122,55,151,12.2,37.2,328
33,8,Drewniok Kimberly,GER,119,50,140,7.93,38.51,309
34,12,Thompson Jordan,USA,118,31,120,6.94,43.87,269
35,16,Peña Isabel Yonkaira Paola,DOM,117,47,120,7.8,41.2,284
36,14,Howe Hilary,CAN,117,62,158,7.8,34.72,337
37,1,Lee Soyoung,KOR,114,51,147,7.6,36.54,312
38,3,Caric Sara,SRB,113,54,151,12.56,35.53,318
39,14,Bartsch-Hackley Michelle,USA,113,26,128,8.07,42.32,267
40,22,Lozo Sara,SRB,110,51,174,7.33,32.84,335
41,19,Mingardi Camilla,ITA,106,40,135,8.15,37.72,281
42,28,Melli Giulia,ITA,106,35,121,7.07,40.46,262
43,23,Timmerman Eline,NED,101,26,80,6.73,48.79,207
44,10,Larson Jordan,USA,101,22,126,5.94,40.56,249
45,15,Kanthong Malika,THA,100,45,167,6.67,32.05,312
46,11,Lukasik Martyna,POL,100,38,139,6.67,36.1,277
47,21,Martinez Jineiry,DOM,98,19,91,6.53,47.12,208
48,13,Janssens Marlies,BEL,95,22,78,6.79,48.72,195
49,29,D'Odorico Sofia,ITA,94,43,176,7.23,30.03,313
50,19,Maglio Emily,CAN,94,22,92,6.71,45.19,208
51,88,Gorecka Zuzanna,POL,87,24,113,6.21,38.84,224
52,19,Van Avermaet Silke,BEL,86,14,94,5.73,44.33,194
53,9,Chuewulim Sutadta,THA,86,39,136,5.73,32.95,261
54,26,Dambrink Elles,NED,82,26,104,9.11,38.68,212
55,13,Boz Meryem,TUR,82,33,115,4.82,35.65,230
56,23,Robinson Kelsey,USA,81,32,102,6.23,37.67,215
57,16,Jeong Jiyun,KOR,80,58,124,5.33,30.53,262
58,12,Li Yingying,CHN,79,12,39,13.17,60.77,130
59,14,Schölzel Marie,GER,78,24,83,5.2,42.16,185
60,21,Weitzel Camilla,GER,78,10,71,5.2,49.06,159
61,2,De Oliveira Saad Gattaz Caroline,BRA,78,9,54,5.2,55.32,141
62,22,Washington Haleigh,USA,77,6,45,4.81,60.16,128
63,34,Mirosavljevic Jovana,SRB,76,39,118,5.07,32.62,233
64,23,Gonzalez Lopez Gaila Ceneida,DOM,76,27,99,6.91,37.62,202
65,5,Guilliams Jodie,BEL,73,41,147,4.87,27.97,261
66,8,Li Yao,CHN,73,31,135,5.21,30.54,239
67,6,Koroleva Irina,RUS,72,12,48,4.8,54.55,132
68,4,Senoglu Tugba,TUR,69,35,74,4.06,38.76,178
69,12,Guerra Anastasia,ITA,69,32,86,4.93,36.9,187
70,19,Krause Karina,THA,67,17,48,4.47,50.76,132
71,7,Lohuis Juliet,NED,65,11,51,5.42,51.18,127
72,6,Gong Xiangyu,CHN,65,16,52,10.83,48.87,133
73,5,Araki Erika,JPN,64,15,71,3.76,42.67,150
74,16,Akinradewo Foluke,USA,64,14,40,4.57,54.24,118
75,24,Mazzaro Alessia,ITA,64,14,49,4.27,50.39,127
76,3,Shimamura Haruyo,JPN,62,11,77,4.43,41.33,150
77,7,Wang Yuanyuan,CHN,62,9,55,4.13,49.21,126
78,3,Alagierska Klaudia,POL,62,19,27,4.13,57.41,108
79,9,Ismailoglu Meliha,TUR,61,32,106,3.59,30.65,199
80,15,Da Silva Ana Carolina,BRA,59,12,35,4.21,55.66,106
81,4,Yang Hanyu,CHN,58,15,47,4.14,48.33,120
82,21,Kocic Jovana,SRB,57,15,49,3.8,47.11,121
83,12,Cross Jennifer,CAN,56,20,59,3.73,41.48,135
84,4,Plak Celeste,NED,56,19,63,5.6,40.58,138
85,25,Smirnova Kseniia,RUS,55,26,68,3.93,36.91,149
86,15,Kosheleva Tatyana,RUS,52,14,69,4.73,38.52,135
87,10,Efimienko-Mlotkowska Zuzanna,POL,52,6,44,4.0,50.98,102
88,2,Zhu Ting,CHN,51,3,40,8.5,54.26,94
89,14,Yang Hyo Jin,KOR,50,7,49,3.33,47.17,106
90,32,Omoruyi Oghosasere Loveth,ITA,50,22,61,3.33,37.59,133
91,26,Savic Vanja,SRB,48,33,85,3.69,28.92,166
92,19,Liu Yanhan,CHN,46,11,109,3.29,27.71,166
93,7,Montibeller Rosamaria,BRA,46,8,38,3.29,50.0,92
94,4,Bonifacio Sara,ITA,45,5,43,3.0,48.39,93
95,20,Correa Ana Beatriz,BRA,45,9,44,3.0,45.92,98
96,16,Baijens Indy,NED,44,4,21,5.5,63.77,69
97,21,Lubian Marina,ITA,43,18,40,2.87,42.57,101
98,18,Gunes Zehra,TUR,43,11,20,6.14,58.11,74
99,1,Yuan Xinyue,CHN,41,2,37,6.83,51.25,80
