,ShirtNumber,PlayerName,Team,Digs,Errors,Receptions,AveragePerMatch,Success%,TotalAttempts
0,5,Castillo Brenda,DOM,250,62,29,16.67,73.31,341
1,18,Brait Camila,BRA,227,31,21,13.35,81.36,279
2,2,Akoz Simge Sebnem,TUR,215,48,18,12.65,76.51,281
3,9,Schoot Myrthe,NED,193,49,28,12.87,71.48,270
4,4,Wong-Orantes Justine,USA,192,35,16,11.29,79.01,243
5,18,Rampelberg Britt,BEL,190,76,27,13.57,64.85,293
6,1,Kurogo Ai,JPN,188,46,16,11.06,75.2,250
7,9,Oh Jiyoung,KOR,187,43,13,12.47,76.95,243
8,10,Braga Guimaraes Gabriela,BRA,172,28,23,10.12,77.13,223
9,17,Pogany Anna,GER,165,60,17,11.0,68.18,242
10,14,Kobata Mako,JPN,161,36,14,9.47,76.3,211
11,31,Fersino Eleonora,ITA,153,52,19,10.2,68.3,224
12,7,Van Gestel Celine,BEL,140,39,10,9.33,74.07,189
13,18,Wang Mengjie,CHN,140,36,12,9.33,74.47,188
14,31,Djurdjevic Sanja,SRB,135,35,16,10.38,72.58,186
15,8,Ishikawa Mayu,JPN,135,34,13,7.94,74.18,182
16,17,Van De Vyver Ilka,BEL,133,41,21,8.87,68.21,195
17,2,Koga Sarina,JPN,131,32,15,8.19,73.6,178
18,16,Rodrigues Fernanda,BRA,127,37,23,7.47,67.91,187
19,1,Bujan Cassandra,CAN,123,55,18,8.2,62.76,196
20,10,Kim Yeon Koung,KOR,122,28,9,8.13,76.73,159
21,19,Daalderop Nika,NED,111,43,21,7.4,63.43,175
22,3,Özbay Cansu,TUR,111,25,9,6.53,76.55,145
23,13,Tomkom Nootsara,THA,111,33,14,7.4,70.25,158
24,2,Pannoy Piyanut,THA,110,32,13,7.33,70.97,155
25,11,Caixeta Tandara,BRA,109,25,25,6.41,68.55,159
26,8,Stenzel Maria,POL,108,24,6,7.2,78.26,138
27,13,King Brie,CAN,106,37,24,7.57,63.47,167
28,18,De La Cruz De Peña Bethania,DOM,105,32,8,7.0,72.41,145
29,3,Herbots Britt,BEL,104,32,21,7.43,66.24,157
30,8,Silva Carneiro Macris Fernanda,BRA,104,28,9,6.12,73.76,141
31,9,Ismailoglu Meliha,TUR,101,23,14,5.94,73.19,138
32,24,Momii Aki,JPN,101,38,12,6.31,66.89,151
33,11,Buijs Anne,NED,100,28,14,6.67,70.42,142
34,99,Karakurt Ebrar,TUR,100,22,13,5.88,74.07,135
35,22,Lozo Sara,SRB,98,29,7,6.53,73.13,134
36,1,Lee Soyoung,KOR,98,11,20,6.53,75.97,129
37,2,Lazovic Katarina,SRB,96,16,19,9.6,73.28,131
38,4,Pilipenko Daria,RUS,96,38,14,6.4,64.86,148
39,6,Sittirak Onuma,THA,96,36,12,6.4,66.67,144
40,15,Kanthong Malika,THA,95,35,17,6.33,64.63,147
41,12,Bongaerts Britt,NED,94,38,10,6.27,66.2,142
42,4,Imoudu Denise,GER,93,21,15,6.2,72.09,129
43,16,Voronkova Irina,RUS,92,20,13,6.13,73.6,125
44,1,Nowicka Julia,POL,92,20,10,6.13,75.41,122
45,13,Jagla Monika,POL,92,52,12,6.13,58.97,156
46,3,Van Ryk Kiera,CAN,92,35,20,6.57,62.59,147
47,7,Marte Frica Niverka Dharlenis,DOM,90,35,11,6.0,66.18,136
48,5,Guilliams Jodie,BEL,89,23,12,5.93,71.77,124
49,11,Lukasik Martyna,POL,89,24,10,5.93,72.36,123
50,7,Baladin Hande,TUR,88,24,10,5.18,72.13,122
51,10,Larson Jordan,USA,88,17,2,5.18,82.24,107
52,9,Stysiak Magdalena,POL,88,24,13,5.87,70.4,125
53,20,Martinez Brayelin Elizabeth,DOM,84,18,16,5.6,71.19,118
54,14,Rivera Brens Prisilla,DOM,83,38,14,5.53,61.48,135
55,16,Peña Isabel Yonkaira Paola,DOM,83,22,10,5.53,72.17,115
56,23,Robinson Kelsey,USA,83,12,7,6.38,81.37,102
57,9,Zhang Changning,CHN,81,21,15,5.4,69.23,117
58,23,De Bortoli Chiara,ITA,79,28,6,5.27,69.91,113
59,8,Goncharova Nataliya,RUS,78,18,14,5.57,70.91,110
60,13,Startseva Evgeniya,RUS,78,30,14,6.0,63.93,122
61,11,Yao Di,CHN,78,16,8,5.2,76.47,102
