,ShirtNumber,PlayerName,Team,AttackPoints,BlockPoints,ServePoints,TotalPoints
0,3,Herbots Britt,BEL,314,12,11,337
1,99,Karakurt Ebrar,TUR,250,21,18,289
2,9,Stysiak Magdalena,POL,245,22,16,283
3,11,Caixeta Tandara,BRA,234,25,5,264
4,2,Koga Sarina,JPN,226,11,17,254
5,3,Van Ryk Kiera,CAN,211,20,18,249
6,19,Daalderop Nika,NED,208,19,15,242
7,8,Ishikawa Mayu,JPN,202,9,15,226
8,9,Zhang Changning,CHN,187,27,11,225
9,1,Kurogo Ai,JPN,197,8,18,223
10,10,Braga Guimaraes Gabriela,BRA,185,22,8,215
11,14,Erdem Dündar Eda,TUR,143,46,19,208
12,10,Kim Yeon Koung,KOR,181,8,7,196
13,16,Rodrigues Fernanda,BRA,165,23,6,194
14,5,Fedorovtseva Arina,RUS,159,14,17,190
15,8,Goncharova Nataliya,RUS,162,19,4,185
16,12,Orthmann Hanna,GER,146,16,21,183
17,18,De La Cruz De Peña Bethania,DOM,162,6,13,181
18,6,Sittirak Onuma,THA,167,1,5,173
19,15,Nwakalor Sylvia Chinelo,ITA,155,13,5,173
20,13,Park Jeongah,KOR,151,14,4,169
21,9,Alsmeier Lina,GER,143,13,8,164
22,7,Baladin Hande,TUR,140,13,10,163
23,5,Thinkaow Pleumjit,THA,132,19,12,163
24,11,Buijs Anne,NED,142,15,5,162
25,17,Smarzek Malwina,POL,140,17,3,160
26,7,Van Gestel Celine,BEL,131,9,18,158
27,13,Janssens Marlies,BEL,95,40,23,158
28,14,Rivera Brens Prisilla,DOM,136,10,11,157
29,16,Voronkova Irina,RUS,132,8,12,152
30,20,Martinez Brayelin Elizabeth,DOM,136,9,4,149
31,11,Drews Andrea,USA,133,6,9,148
32,23,Timmerman Eline,NED,101,37,9,147
33,2,Lazovic Katarina,SRB,122,9,12,143
34,12,Thompson Jordan,USA,118,19,6,143
35,11,Mitrovic Andrea,CAN,127,5,8,140
36,14,Howe Hilary,CAN,117,17,6,140
37,21,Martinez Jineiry,DOM,98,33,7,138
38,14,Bartsch-Hackley Michelle,USA,113,15,10,138
39,3,Caric Sara,SRB,113,20,2,135
40,22,Lozo Sara,SRB,110,10,14,134
41,8,Drewniok Kimberly,GER,119,8,6,133
42,11,Lukasik Martyna,POL,100,17,16,133
43,19,Maglio Emily,CAN,94,31,6,131
44,1,Lee Soyoung,KOR,114,5,11,130
45,16,Peña Isabel Yonkaira Paola,DOM,117,8,3,128
46,21,Weitzel Camilla,GER,78,27,21,126
47,6,Koroleva Irina,RUS,72,38,11,121
48,28,Melli Giulia,ITA,106,13,2,121
49,19,Mingardi Camilla,ITA,106,8,4,118
50,19,Van Avermaet Silke,BEL,86,20,10,116
51,10,Larson Jordan,USA,101,4,8,113
52,15,Kanthong Malika,THA,100,5,5,110
53,29,D'Odorico Sofia,ITA,94,6,10,110
54,22,Washington Haleigh,USA,77,19,13,109
55,14,Schölzel Marie,GER,78,23,6,107
56,88,Gorecka Zuzanna,POL,87,13,7,107
57,2,De Oliveira Saad Gattaz Caroline,BRA,78,21,6,105
58,21,Kocic Jovana,SRB,57,43,4,104
59,15,Da Silva Ana Carolina,BRA,59,35,9,103
60,23,Robinson Kelsey,USA,81,9,11,101
61,24,Mazzaro Alessia,ITA,64,26,9,99
62,5,Araki Erika,JPN,64,21,12,97
63,26,Dambrink Elles,NED,82,6,7,95
64,16,Jeong Jiyun,KOR,80,9,5,94
65,23,Gonzalez Lopez Gaila Ceneida,DOM,76,6,12,94
66,12,Cross Jennifer,CAN,56,27,9,92
67,7,Lohuis Juliet,NED,65,15,12,92
68,34,Mirosavljevic Jovana,SRB,76,10,5,91
69,13,Boz Meryem,TUR,82,4,3,89
70,8,Li Yao,CHN,73,11,5,89
71,9,Chuewulim Sutadta,THA,86,0,2,88
72,3,Alagierska Klaudia,POL,62,20,6,88
73,12,Li Yingying,CHN,79,3,6,88
74,5,Guilliams Jodie,BEL,73,7,6,86
