,ShirtNumber,PlayerName,Team,ServePoints,Errors,Attempts,AveragePerMatch,Success%,TotalAttempts
0,13,Janssens Marlies,BEL,23,20,139,1.64,12.64,182
1,12,Orthmann Hanna,GER,21,36,82,1.4,15.11,139
2,21,Weitzel Camilla,GER,21,39,162,1.4,9.46,222
3,14,Erdem Dündar Eda,TUR,19,18,146,1.12,10.38,183
4,7,Van Gestel Celine,BEL,18,11,184,1.2,8.45,213
5,99,Karakurt Ebrar,TUR,18,28,148,1.06,9.28,194
6,1,Kurogo Ai,JPN,18,19,194,1.06,7.79,231
7,3,Van Ryk Kiera,CAN,18,44,101,1.29,11.04,163
8,5,Fedorovtseva Arina,RUS,17,23,145,1.13,9.19,185
9,2,Koga Sarina,JPN,17,15,187,1.06,7.76,219
10,2,Bosio Francesca,ITA,16,2,197,1.07,7.44,215
11,9,Stysiak Magdalena,POL,16,45,123,1.07,8.7,184
12,11,Lukasik Martyna,POL,16,15,146,1.07,9.04,177
13,19,Daalderop Nika,NED,15,26,165,1.0,7.28,206
14,8,Ishikawa Mayu,JPN,15,13,175,0.88,7.39,203
15,22,Lozo Sara,SRB,14,16,102,0.93,10.61,132
16,1,Hancock Micha,USA,14,21,71,0.93,13.21,106
17,18,De La Cruz De Peña Bethania,DOM,13,20,131,0.87,7.93,164
18,22,Washington Haleigh,USA,13,14,103,0.81,10.0,130
19,21,Lubian Marina,ITA,13,24,72,0.87,11.93,109
20,17,Van De Vyver Ilka,BEL,12,13,193,0.8,5.5,218
21,2,Lazovic Katarina,SRB,12,21,116,1.2,8.05,149
22,16,Voronkova Irina,RUS,12,19,116,0.8,8.16,147
23,5,Araki Erika,JPN,12,8,146,0.71,7.23,166
24,5,Thinkaow Pleumjit,THA,12,15,123,0.8,8.0,150
25,23,Gonzalez Lopez Gaila Ceneida,DOM,12,14,71,1.09,12.37,97
26,7,Lohuis Juliet,NED,12,18,136,1.0,7.23,166
27,3,Herbots Britt,BEL,11,28,149,0.79,5.85,188
28,6,Koroleva Irina,RUS,11,6,128,0.73,7.59,145
29,9,Zhang Changning,CHN,11,10,131,0.73,7.24,152
30,1,Lee Soyoung,KOR,11,17,107,0.73,8.15,135
31,8,Park Eunjin,KOR,11,11,96,0.73,9.32,118
32,14,Rivera Brens Prisilla,DOM,11,19,155,0.73,5.95,185
33,3,Yeum Hye Seon,KOR,11,17,101,0.85,8.53,129
34,23,Robinson Kelsey,USA,11,11,82,0.85,10.58,104
35,12,Bongaerts Britt,NED,10,12,156,0.67,5.62,178
36,19,Van Avermaet Silke,BEL,10,14,120,0.67,6.94,144
37,3,Özbay Cansu,TUR,10,26,137,0.59,5.78,173
38,7,Baladin Hande,TUR,10,17,142,0.59,5.92,169
39,29,D'Odorico Sofia,ITA,10,30,106,0.77,6.85,146
40,14,Bartsch-Hackley Michelle,USA,10,13,118,0.71,7.09,141
