,ShirtNumber,PlayerName,Team,Sucessful,Errors,Attempts,AveragePerMatch,Success%,TotalAttempts
0,24,Momii Aki,JPN,396,12,1175,24.75,25.02,1583
1,12,Bongaerts Britt,NED,352,6,1207,23.47,22.49,1565
2,8,Silva Carneiro Macris Fernanda,BRA,333,6,947,19.59,25.89,1286
3,17,Van De Vyver Ilka,BEL,292,8,1247,19.47,18.88,1547
4,3,Özbay Cansu,TUR,271,9,932,15.94,22.36,1212
5,4,Imoudu Denise,GER,228,12,776,15.2,22.44,1016
6,2,Bosio Francesca,ITA,225,6,1140,15.0,16.41,1371
7,2,Poulter Jordyn,USA,224,7,612,17.23,26.57,843
8,11,Yao Di,CHN,222,7,596,14.8,26.91,825
9,1,Nowicka Julia,POL,215,10,766,14.33,21.7,991
10,13,King Brie,CAN,205,13,977,14.64,17.15,1195
11,7,Marte Frica Niverka Dharlenis,DOM,193,15,978,12.87,16.27,1186
12,13,Tomkom Nootsara,THA,186,12,1007,12.4,15.44,1205
13,1,Hancock Micha,USA,137,9,424,9.13,24.04,570
14,7,Jaksic Ana,SRB,120,7,899,8.0,11.7,1026
15,3,Yeum Hye Seon,KOR,106,8,680,8.15,13.35,794
16,11,Aydemir Akyol Naz,TUR,97,3,369,10.78,20.68,469
17,13,Startseva Evgeniya,RUS,92,5,795,7.08,10.31,892
18,26,Wenerska Katarzyna,POL,89,3,367,14.83,19.39,459
19,16,Ding Xia,CHN,74,2,284,12.33,20.56,360
20,2,Kästner Pia,GER,56,4,262,3.73,17.39,322
21,3,Diao Linyu,CHN,53,3,210,5.89,19.92,266
22,23,Djordjevic Mila,SRB,52,5,476,3.47,9.76,533
23,7,An Hyejin,KOR,52,3,250,7.43,17.05,305
24,6,Kim Dain,KOR,50,4,463,3.85,9.67,517
25,10,Matveeva Polina,RUS,40,2,272,3.64,12.74,314
26,9,Ratzke Roberta Silva,BRA,33,0,137,4.12,19.41,170
27,3,Rodrigues Lins Dos Santos Danielle,BRA,25,2,121,2.78,16.89,148
28,22,Morello Rachele,ITA,25,4,144,5.0,14.45,173
29,9,Tashiro Kanami,JPN,24,1,182,1.71,11.59,207
30,26,Battistoni Ilaria,ITA,23,2,103,2.3,17.97,128
31,20,Lazareva Ekaterina,RUS,22,4,198,2.75,9.82,224
32,6,Dominguez Martinez Camil Inmaculada,DOM,21,3,211,1.62,8.94,235
33,12,Unal Buse,TUR,19,0,78,2.38,19.59,97
34,27,Łazowska Martyna,POL,17,3,102,1.89,13.93,122
35,18,Robitaille Kim,CAN,16,2,105,2.0,13.01,123
36,5,Smith Danielle,CAN,14,1,76,1.4,15.38,91
37,3,ManaKij Sirima,THA,13,0,110,1.18,10.57,123
38,2,Van Sas Elise,BEL,11,0,53,0.92,17.19,64
39,20,Phomla Soraya,THA,11,1,72,3.67,13.1,84
40,20,Seki Nanami,JPN,7,1,96,0.88,6.73,104
41,12,Krenicky Charlotte,BEL,6,0,10,3.0,37.5,16
42,17,Piampongsan Gullapa,THA,4,0,33,1.33,10.81,37
43,13,Park Jeongah,KOR,3,0,36,0.2,7.69,39
44,5,Castillo Brenda,DOM,3,0,228,0.2,1.3,231
45,7,Carlini Lauren,USA,3,0,92,0.5,3.16,95
46,12,Thompson Jordan,USA,3,0,14,0.18,17.65,17
47,10,van Aalen Sarah,NED,2,0,5,0.13,28.57,7
48,15,Van De Vyver Jutta,BEL,2,2,20,0.15,8.33,24
49,18,Rampelberg Britt,BEL,2,3,101,0.14,1.89,106
50,21,Weitzel Camilla,GER,2,0,15,0.13,11.76,17
51,18,Wang Mengjie,CHN,2,1,63,0.13,3.03,66
52,13,Janssens Marlies,BEL,1,1,7,0.07,11.11,9
53,2,Akoz Simge Sebnem,TUR,1,0,109,0.06,0.91,110
54,13,Boz Meryem,TUR,1,2,1,0.06,25.0,4
55,99,Karakurt Ebrar,TUR,1,2,12,0.06,6.67,15
