,No.,Player Name,Position,Team
0,2.0,Van Sas Elise,S,BEL
1,3.0,Herbots Britt,OH,BEL
2,4.0,Lemmens Nathalie,MB,BEL
3,5.0,Guilliams Jodie,OH,BEL
4,6.0,Gilson Helena,OH,BEL
5,7.0,Van Gestel Celine,OH,BEL
6,9.0,Demeyer Nel,L,BEL
7,10.0,Sobolska Dominika,MB,BEL
8,11.0,De Tant Amber,L,BEL
9,13.0,Janssens Marlies,MB,BEL
10,14.0,De Valkeneer Lise,OH,BEL
11,15.0,Van De Vyver Jutta,S,BEL
12,17.0,Van De Vyver Ilka,S,BEL
13,18.0,Rampelberg Britt,L,BEL
14,19.0,Van Avermaet Silke,MB,BEL
15,21.0,Stragier Manon,OH,BEL
16,,Gert Vande Broek,COACH,BEL
0,2.0,De Oliveira Saad Gattaz Caroline,MB,BRA
1,3.0,Rodrigues Lins Dos Santos Danielle,S,BRA
2,5.0,Da Silva Adenizia,MB,BRA
3,6.0,Alexandre Costa Nunes Nyeme Victoria,L,BRA
4,7.0,Montibeller Rosamaria,OH,BRA
5,8.0,Silva Carneiro Macris Fernanda,S,BRA
6,9.0,Ratzke Roberta Silva,S,BRA
7,10.0,Braga Guimaraes Gabriela,OH,BRA
8,11.0,Caixeta Tandara,OH,BRA
9,12.0,Pereira Natalia,OH,BRA
10,13.0,Castro De Paula Blassioli Sheilla,O,BRA
11,15.0,Da Silva Ana Carolina,MB,BRA
12,16.0,Rodrigues Fernanda,OH,BRA
13,17.0,Menezes Oliveira de Souza Ana Cristina,OH,BRA
14,18.0,Brait Camila,L,BRA
15,20.0,Correa Ana Beatriz,MB,BRA
16,24.0,Geraldo Teixeira Lorenne,O,BRA
17,28.0,Araujo De Souza Mayany Cristina,MB,BRA
18,,JOSE ROBERTO GUIMARAES,COACH,BRA
0,1.0,Bujan Cassandra,L,CAN
1,3.0,Van Ryk Kiera,OH,CAN
2,5.0,Smith Danielle,S,CAN
3,6.0,White Jazmine Ruth,MB,CAN
4,7.0,Van Buskirk Layne,MB,CAN
5,8.0,Ogoms Alicia,MB,CAN
6,9.0,Gray Alexa,OH,CAN
7,11.0,Mitrovic Andrea,OH,CAN
8,12.0,Cross Jennifer,MB,CAN
9,13.0,King Brie,S,CAN
10,14.0,Howe Hilary,OH,CAN
11,15.0,Joseph Shainah,O,CAN
12,16.0,Livingston Caroline,OH,CAN
13,18.0,Robitaille Kim,S,CAN
14,19.0,Maglio Emily,MB,CAN
15,22.0,Snape Kennedy Brooklyn,L,CAN
16,23.0,Austin Parker Jane,OH,CAN
17,,Shannon WINZER,COACH,CAN
0,1.0,Yuan Xinyue,MB,CHN
1,2.0,Zhu Ting,OH,CHN
2,4.0,Yang Hanyu,MB,CHN
3,6.0,Gong Xiangyu,O,CHN
4,7.0,Wang Yuanyuan,MB,CHN
5,8.0,Li Yao,OH,CHN
6,9.0,Zhang Changning,OH,CHN
7,10.0,Liu Xiaotong,OH,CHN
8,11.0,Yao Di,S,CHN
9,12.0,Li Yingying,OH,CHN
10,15.0,Lin Li,L,CHN
11,16.0,Ding Xia,S,CHN
12,17.0,Yan Ni,MB,CHN
13,18.0,Wang Mengjie,L,CHN
14,19.0,Liu Yanhan,OH,CHN
15,,PING LANG,COACH,CHN
0,1.0,Vargas Valdez Annerys Victoria,MB,DOM
1,3.0,Eve Mejia Lisvel Elisa,U,DOM
2,5.0,Castillo Brenda,L,DOM
3,6.0,Dominguez Martinez Camil Inmaculada,S,DOM
4,7.0,Marte Frica Niverka Dharlenis,S,DOM
5,11.0,Rodriguez Marifranchi,MB,DOM
6,12.0,Perez Flores Yokaty,S,DOM
7,14.0,Rivera Brens Prisilla,OH,DOM
8,16.0,Peña Isabel Yonkaira Paola,OH,DOM
9,17.0,Mambru Casilla Gina Altagracia,O,DOM
10,18.0,De La Cruz De Peña Bethania,OH,DOM
11,20.0,Martinez Brayelin Elizabeth,OH,DOM
12,21.0,Martinez Jineiry,MB,DOM
13,23.0,Gonzalez Lopez Gaila Ceneida,O,DOM
14,25.0,Martinez Caro Larysmer,OH,DOM
15,,Marcos Kwiek,COACH,DOM
0,1.0,Bock Linda,L,GER
1,2.0,Kästner Pia,S,GER
2,4.0,Imoudu Denise,S,GER
3,5.0,Poll Jana Franziska,OH,GER
4,7.0,Vanjak Ivana,OH,GER
5,8.0,Drewniok Kimberly,O,GER
6,9.0,Alsmeier Lina,OH,GER
7,10.0,Stigrot Lena,OH,GER
8,12.0,Orthmann Hanna,OH,GER
9,14.0,Schölzel Marie,MB,GER
10,16.0,Ambrosius Lea,MB,GER
11,17.0,Pogany Anna,L,GER
12,20.0,Bock Josepha,MB,GER
13,21.0,Weitzel Camilla,MB,GER
14,24.0,Cekulaev Anastasia,MB,GER
15,,Felix Koslowski,COACH,GER
0,2.0,Bosio Francesca,S,ITA
1,4.0,Bonifacio Sara,MB,ITA
2,12.0,Guerra Anastasia,OH,ITA
3,15.0,Nwakalor Sylvia Chinelo,O,ITA
4,19.0,Mingardi Camilla,OH,ITA
5,21.0,Lubian Marina,MB,ITA
6,22.0,Morello Rachele,S,ITA
7,23.0,De Bortoli Chiara,L,ITA
8,24.0,Mazzaro Alessia,MB,ITA
9,25.0,Piva Rebecca,OH,ITA
10,26.0,Battistoni Ilaria,S,ITA
11,27.0,Furlan Eleonora,MB,ITA
12,28.0,Melli Giulia,OH,ITA
13,29.0,D'Odorico Sofia,OH,ITA
14,30.0,Squarcini Federica,MB,ITA
15,31.0,Fersino Eleonora,L,ITA
16,32.0,Omoruyi Oghosasere Loveth,OH,ITA
17,,Giulio Cesare Bregoli,COACH,ITA
0,1.0,Kurogo Ai,OH,JPN
1,2.0,Koga Sarina,OH,JPN
2,3.0,Shimamura Haruyo,MB,JPN
3,4.0,Nagaoka Miyu,O,JPN
4,5.0,Araki Erika,MB,JPN
